epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_seconds
1,1.4337116482922487,1.0489925870412513,47.298,63.05,44.18152928352356
2,0.9231877798009711,0.8491034967989861,67.574,70.54,43.85052800178528
3,0.727278775037707,0.7832266997687424,74.728,72.97,43.20909905433655
4,0.5867190952496151,0.7341100652761097,79.694,74.81,43.40800189971924
5,0.48597066397862054,0.675625728655465,83.024,77.63,43.15486001968384
6,0.3866605751426019,0.7216018200675144,86.424,77.46,42.94202184677124
7,0.3057342745230326,0.7812015716033646,89.27,76.68,43.446341037750244
8,0.23478972452604557,0.830943040455444,91.792,76.9,42.87710905075073
9,0.19349115718241847,0.9288978659653966,93.08,75.2,42.878066301345825
10,0.15540680900940199,1.0009521185597288,94.59,76.38,42.37150692939758
11,0.13104808874561658,1.1542243067222306,95.37,74.32,42.368614196777344
12,0.11542103977878686,1.211238524204568,95.98,75.62,42.652804136276245
13,0.11696863244466311,1.114938053526456,95.89,75.95,42.6552369594574
14,0.08745265370020476,1.2709346476800834,96.936,75.22,42.7435998916626
15,0.09361171913916802,1.2541616743878474,96.752,76.29,42.5579469203949
