epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,2.146213620824887,1.945438863355902,18.566,27.02
2,1.8762447898040342,1.7390742090683948,31.21,37.11
3,1.6970479403005536,1.62456866910186,38.33,40.92
4,1.5665800162898305,1.4983493225483955,43.186,45.55
5,1.4509262916682018,1.4003727949118312,47.248,48.94
6,1.3751972941181543,1.3394218366357344,50.162,51.33
7,1.309379572453706,1.2976395917844168,52.394,52.57
8,1.2577238476184933,1.2515699003316179,54.448,54.18
9,1.2026221500638197,1.249784905699235,56.616,54.75
10,1.1514818192747853,1.1713944424556781,58.384,57.66
11,1.0965902210806338,1.1544589370111875,60.664,59.08
12,1.0435355852936845,1.103832011735892,62.436,60.69
13,0.9887567112208022,1.0819223545774628,64.648,61.38
14,0.9450843166512297,1.0457651947118058,66.418,62.8
15,0.8999728636668466,1.066141790981534,68.034,62.67
