epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_seconds
1,1.4337116482922487,1.0489925870412513,47.298,63.05,42.81486368179321
2,0.9231877798009711,0.8491034967989861,67.574,70.54,42.24376821517944
3,0.727278775037707,0.7832266997687424,74.728,72.97,42.3428590297699
4,0.5867190952496151,0.7341100652761097,79.694,74.81,42.317827224731445
5,0.48597066397862054,0.675625728655465,83.024,77.63,42.78711199760437
6,0.3866605751426019,0.7216018200675144,86.424,77.46,42.686662912368774
7,0.3057342745230326,0.7812015716033646,89.27,76.68,42.61777114868164
8,0.23478972452604557,0.830943040455444,91.792,76.9,42.8099639415741
9,0.19349115718241847,0.9288978659653966,93.08,75.2,42.78129696846008
10,0.15540680900940199,1.0009521185597288,94.59,76.38,43.06666612625122
11,0.13104808874561658,1.1542243067222306,95.37,74.32,43.110957860946655
12,0.11542103977878686,1.211238524204568,95.98,75.62,43.48875427246094
13,0.11696863244466311,1.114938053526456,95.89,75.95,43.22763919830322
14,0.08745265370020476,1.2709346476800834,96.936,75.22,42.652053117752075
15,0.09361171913916802,1.2541616743878474,96.752,76.29,42.60488200187683
