epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_seconds
1,1.6278958088906526,1.4804352023933507,42.224,46.83,4.716426134109497
2,1.4086475646709238,1.3967429218412954,50.162,50.54,4.6644439697265625
3,1.2964738762896995,1.3645767456368556,54.216,52.75,4.748775005340576
4,1.2010899244062125,1.4089989194387122,57.702,51.74,4.543283224105835
5,1.1136926267762928,1.3491230871103987,60.73,52.54,4.525207757949829
6,1.0309545853558708,1.3536828665793696,63.734,54.1,4.507405042648315
7,0.9477881772438889,1.395654121531716,66.51,53.96,4.67880392074585
8,0.871979284774312,1.423160723493069,69.162,53.43,4.738948822021484
9,0.7965670325567046,1.500313020959685,71.73,53.61,4.5528857707977295
10,0.7270063981223289,1.542866388453713,74.126,54.33,4.525139093399048
11,0.6507798507237983,1.6245809642574456,76.916,53.24,4.586330890655518
12,0.5959797374275334,1.7292571429964863,78.794,53.44,4.642802000045776
13,0.5335020880260126,1.8316189412829242,81.332,53.45,4.586748838424683
14,0.48720681659705806,1.8890454406979718,82.684,53.67,4.501365900039673
15,0.4341450021852313,2.033687802809703,84.722,53.69,4.462469100952148
