epoch,conv1.weight,conv1.bias,bn1.weight,bn1.bias,conv2.weight,conv2.bias,bn2.weight,bn2.bias,conv3.weight,conv3.bias,bn3.weight,bn3.bias,conv4.weight,conv4.bias,bn4.weight,bn4.bias,fc1.weight,fc1.bias,fc2.weight,fc2.bias
1,1.6941762887455922,2.6192972874349185e-05,0.06993196912281349,0.05558858840914486,0.9686002864709595,4.367839315899396e-07,0.046413864952314386,0.03204670902389242,0.6135301817103725,5.853419749697455e-08,0.0319842954768854,0.020283528925169766,0.46891755574499555,1.0071977462910798e-08,0.04183343055007784,0.03422222480349376,0.9321741239189187,0.02860648307920722,1.965310668396523,0.09875629585036232
2,2.6088701123776645,3.75506717814239e-05,0.08633313980668098,0.06997080033887988,1.0418048969010258,3.7909824044027467e-07,0.06599339810402496,0.04749418204874181,0.7061939773047367,7.304841277249163e-08,0.049937130297388874,0.031807801026441256,0.46762595845915167,1.0859609444711837e-08,0.060469742387990515,0.04744113198078959,0.813550257164499,0.025318790894106526,1.9225356252601995,0.08812519929864827
3,2.8592979597008745,4.1775137821282455e-05,0.08820909531334477,0.07198109631152715,1.0023436939624875,4.615488540743465e-07,0.07187688321141941,0.05383854554704083,0.7108642986363463,8.29158015836139e-08,0.05951237160226573,0.03806236923655586,0.4597625033477383,1.1794250509453372e-08,0.06988946426555019,0.05508493165225934,0.760390704473876,0.024230083560242373,1.8177807392061824,0.08246356845759523
4,3.0024543332931635,3.8924885046681154e-05,0.09247772012601423,0.07779689819154227,0.9577014251133366,3.990125102619689e-07,0.075683104317359,0.058813081420672216,0.6939252602779652,8.241630770399447e-08,0.06633196798774897,0.042478727324463214,0.45394517767154957,1.2054985161282096e-08,0.07642889723105503,0.059595633731664294,0.7197392915978151,0.023423840899182403,1.6990612266618577,0.07592119876762181
5,3.039845086729435,4.4395604396190245e-05,0.09571232784853871,0.07801143998456428,0.9339557162026311,3.848640702748842e-07,0.080164378046837,0.06298247474195708,0.6921554387682844,8.461265192557841e-08,0.07280317355719064,0.047205522656440735,0.45501609706817686,1.2813868293235106e-08,0.08270583761965528,0.06376558109698698,0.6977521373945124,0.022990840622950395,1.620395271217122,0.07201628722345738
6,3.1609822319596623,4.173216383026712e-05,0.0984294929010484,0.0827359939017869,0.9118808233524527,3.8057193460498524e-07,0.08238182449356064,0.06761156746646023,0.6741812369402718,8.495530336391833e-08,0.07734501508571913,0.04997323870735095,0.44314174731369216,1.2825061749172751e-08,0.0902949125051041,0.06998389776405471,0.6854389175734557,0.023405057571047102,1.6070112944259058,0.07366311948870302
7,3.0272631114706052,3.6167727260030255e-05,0.10002572199953791,0.08361100261587925,0.8755966908181719,3.696177440296222e-07,0.08546931222271736,0.06934282168403001,0.6639978820100769,8.553924177674518e-08,0.08172312294087751,0.0527953262895803,0.4371486015027136,1.306208114447395e-08,0.09249033242502176,0.07121225144437816,0.6441045103170683,0.0222030630706788,1.50196775969337,0.06810497427287766
8,3.0110383341684366,3.994661737615062e-05,0.10141973518540183,0.08397095511331583,0.8636746091001174,3.648228846908346e-07,0.08775091182697764,0.07232680351799711,0.6533396670885403,8.690381225097981e-08,0.0867213760133442,0.056323286803329695,0.4335000550045687,1.3352883747841326e-08,0.09798607639873119,0.07491306385115894,0.6361682371562704,0.022390617248233016,1.4935224390090884,0.06762050337555921
9,3.0295096483376933,3.923653159634811e-05,0.10212735823162682,0.08614040454825782,0.8453954324088133,3.627086229839489e-07,0.09208243744223929,0.07675958554381909,0.6498032192439984,8.700503097179593e-08,0.0913863732000751,0.059311805735997224,0.4309025187321636,1.380426696963314e-08,0.1005721762204719,0.07725437275131646,0.6140652032916808,0.022083135683785008,1.4349115600671305,0.06496884260336151
10,2.992790141373949,4.0878574742013805e-05,0.10359579019839196,0.08628561469676245,0.8385042795134933,3.560840630006846e-07,0.09540769151981225,0.08029461959781854,0.6424561826621785,8.956753105831466e-08,0.09522500584649918,0.06189545634609964,0.42670078640398773,1.4078567236134936e-08,0.10600759109001026,0.08120438980553156,0.6078078923627849,0.022323252583194113,1.418205140344322,0.06538378837925699
11,2.9491941380073956,3.449758168642202e-05,0.10454359791620309,0.08749842779029665,0.8215670149649501,3.121061811177877e-07,0.097533677640321,0.08146627539830745,0.6360175181227876,8.640418464031199e-08,0.09978419753825268,0.06524570211005942,0.4248192779853216,1.4528042384909178e-08,0.10610479541370631,0.08070176143361174,0.5795968876165503,0.02155798610271243,1.3765879735312498,0.06185069452504368
12,2.9366169271566678,3.990717399704611e-05,0.1053500365075248,0.08978116510393065,0.8044659469438635,3.465960899722417e-07,0.10063877995209315,0.08481087670911608,0.6292580176344917,8.645579938234625e-08,0.10395388051753154,0.06803784034479304,0.4218473091454762,1.4863049612324136e-08,0.11064042973205866,0.08446544253498392,0.5702392481019735,0.021841653808474998,1.3299644456799988,0.06140588676018636
13,2.9460958763766474,3.61431864970785e-05,0.10579490174760904,0.08885297332616414,0.7989044998917738,3.313051872560197e-07,0.1027853363538947,0.08730964931418829,0.6270849247417791,8.862868505368153e-08,0.10862396017212392,0.07130589718213472,0.42141617579228435,1.5488720566983593e-08,0.1146704455280243,0.08714744141873192,0.5562101179529029,0.021737375611063006,1.3225431675496309,0.06009189041374285
14,2.8824661238419127,3.345870716010725e-05,0.10702223611800261,0.09024207746548116,0.7794921969818642,2.963329785294598e-07,0.10529459950030612,0.09008635383318453,0.6161822770410181,8.60224483359095e-08,0.11258746632148543,0.07330810253882347,0.41622958479025174,1.5450159907913113e-08,0.11817962974500473,0.08933841064572334,0.5466264538142992,0.021822068428196718,1.2749159994637569,0.05956453971964929
15,2.877592966989483,3.8937978437123494e-05,0.10866289221874588,0.09150409257358602,0.7763301775888409,3.0180808506072407e-07,0.10742904920407269,0.09107303027721013,0.610867113103647,8.61962020304904e-08,0.11690868063808402,0.07599918289905619,0.41342820093759797,1.578799604946994e-08,0.12103370437994028,0.09093740156582554,0.5380153768812604,0.02178850924581899,1.261446226130971,0.058926778643027596
