epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.4741318582573815,1.165570694434492,45.884,58.41
2,1.1472828885173554,1.0163961535767665,58.816,64.42
3,1.0132390757655854,0.8907608374764647,63.944,68.38
4,0.9259092818440684,0.8323234327231781,67.532,71.46
5,0.8572693105853731,0.7831357717514038,69.598,72.36
6,0.8210242727528447,0.791527691521222,70.914,72.75
7,0.7796957762649906,0.7990707807903048,72.734,73.66
8,0.7466861160514909,0.7402911088134669,73.544,74.57
9,0.7192234672853709,0.7104200634020793,74.73,75.99
10,0.6987289668958815,0.7202351542213296,75.596,75.85
11,0.6743178523105123,0.7485679459722736,76.462,75.61
12,0.6602060387811393,0.6304524903055988,76.938,79.01
13,0.6378674593270587,0.6880000969277152,77.476,77.05
14,0.6191758488297767,0.5961563768266123,78.236,79.66
15,0.6091234284593626,0.6514580653438086,78.58,78.5
