fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1,1.4033281159477111,1.2246785684476924,48.505,56.3
1,2,1.0294499244933693,0.9329492495029788,64.17,67.15
1,3,0.8778156440098065,0.9581686522387252,69.8575,67.39
1,4,0.7849855693384481,0.7126257479945316,73.26,75.07
1,5,0.711283380802447,0.7679565488537655,75.435,73.57
1,6,0.6632638251819549,0.6458281806752652,77.41,77.73
1,7,0.6077963060464341,0.6482915252069884,79.125,77.69
1,8,0.5678202150919186,0.6148413887506798,80.7175,78.93
1,9,0.5231289077109803,0.5959292733216588,82.04,79.77
1,10,0.4918334357464275,0.5162308238729646,83.1525,82.73
1,11,0.457756769638092,0.4867343204685404,84.3125,83.45
1,12,0.43147784043043946,0.47195104179503045,85.26,84.16
1,13,0.411771932920328,0.4584912537019464,85.9025,84.54
1,14,0.3936008017379255,0.4504763570767415,86.35,84.75
1,15,0.3876511804973736,0.44941809962067425,86.75,84.87
2,1,1.419767291401141,1.1850530090211313,47.51,58.4
2,2,1.02165446608973,0.8598138169397281,64.0075,69.24
2,3,0.8758159826357905,0.9523799208146108,69.485,68.58
2,4,0.7738424665249956,0.7425061004071296,73.485,74.16
2,5,0.716957150842435,0.706911633286295,75.435,75.88
2,6,0.654319404317929,0.6500839802283275,77.715,77.33
2,7,0.6045741920654004,0.6133979325053058,79.3075,78.89
2,8,0.5631677216043869,0.5483080544803716,80.6975,81.15
2,9,0.5265666591092801,0.5528619014009645,82.0075,80.68
2,10,0.48852252379393046,0.5014890583255623,83.2625,82.98
2,11,0.4572514326046831,0.5014046098612532,84.3425,82.87
2,12,0.42944680616116754,0.48268816535231435,85.26,83.93
2,13,0.4061932076756566,0.4667202328579335,86.1575,84.1
2,14,0.3935582918195298,0.4563987302252009,86.33,84.44
2,15,0.38113041741017717,0.4542008885477163,86.8575,84.45
3,1,1.414440816774155,1.4316609735730328,47.67,50.52
3,2,1.0266193688487093,1.171218511424487,63.66,61.3
3,3,0.8730692446422272,0.8790154834336872,69.715,69.93
3,4,0.780743517053013,0.8143040605738193,72.91,71.78
3,5,0.709513906377573,0.6878446363195588,75.4575,75.9
3,6,0.658261817293807,0.6312127905555919,77.3125,78.11
3,7,0.6035285273108619,0.6150453166116642,79.1825,79.27
3,8,0.5640648714840983,0.5907431859758836,80.69,80.28
3,9,0.5197288717705602,0.6456865536261208,82.3325,78.58
3,10,0.48313099460099074,0.5025528333609617,83.57,83.04
3,11,0.4572604279548596,0.5041927827309959,84.3025,82.96
3,12,0.426250745122806,0.47034784623339204,85.4825,84.49
3,13,0.40311485809830433,0.4635833701755427,86.01,84.51
3,14,0.3865666648926446,0.45838644855384586,86.8525,84.76
3,15,0.37604618867555745,0.4592894506228121,86.88,84.84
4,1,1.4381113659840423,1.206170293349254,47.0575,56.89
4,2,1.0301723232665383,0.9208047397529022,63.8175,67.71
4,3,0.8788248778532107,0.8249614759336544,69.5625,70.49
4,4,0.7852118512312063,0.8318269147148615,73.1425,71.72
4,5,0.7203877709163263,0.6482674939722954,75.09,77.23
4,6,0.6650982485792507,0.61124077590206,77.3825,78.59
4,7,0.6169613680710047,0.6837867490852936,78.84,76.51
4,8,0.5668030069849361,0.5676012710679935,80.6475,80.27
4,9,0.5302651574055608,0.5677052875862846,81.7975,80.77
4,10,0.4898477309047224,0.517270076123974,83.315,82.48
4,11,0.4677317068218804,0.4944655193558222,83.8625,83.36
4,12,0.43140665563150715,0.48357764678665355,85.1,83.26
4,13,0.40675319845493607,0.4612930766012095,85.95,84.43
4,14,0.3959396617671552,0.45131493689893165,86.3875,84.71
4,15,0.3915788979766468,0.45336280914047095,86.5975,84.71
5,1,1.4579326123856127,1.447957867308508,46.0125,49.3
5,2,1.0453021556805497,0.8865897791295112,62.9325,67.59
5,3,0.8736033696716967,0.8427131515515002,69.5675,70.23
5,4,0.7846079721999245,0.718980402886113,72.8725,74.73
5,5,0.7135633480625031,0.6980916197541394,75.2325,75.65
5,6,0.6594796417810666,0.6918619916408877,77.38,75.77
5,7,0.6078625560378115,0.6013543756702279,79.15,79.25
5,8,0.5683340414073139,0.5652493638328359,80.4925,80.19
5,9,0.5263161760168715,0.5605948073200032,82.0,80.65
5,10,0.4886231446228088,0.5102635818191722,83.27,82.12
5,11,0.45916592422575236,0.4856921134493019,84.3525,83.32
5,12,0.4346427954138277,0.4709815980890129,84.93,83.54
5,13,0.40748475596737177,0.4715982330373571,85.96,83.89
5,14,0.39882192644067466,0.4607120480718492,86.4375,84.01
5,15,0.3845474016361724,0.4576397758873203,86.815,84.33
