epoch,high_freq_cnn.conv1.weight,high_freq_cnn.conv1.bias,high_freq_cnn.bn1.weight,high_freq_cnn.bn1.bias,high_freq_cnn.conv2.weight,high_freq_cnn.conv2.bias,high_freq_cnn.bn2.weight,high_freq_cnn.bn2.bias,high_freq_cnn.conv3.weight,high_freq_cnn.conv3.bias,high_freq_cnn.bn3.weight,high_freq_cnn.bn3.bias,high_freq_cnn.conv4.weight,high_freq_cnn.conv4.bias,high_freq_cnn.bn4.weight,high_freq_cnn.bn4.bias,high_freq_cnn.conv5.weight,high_freq_cnn.conv5.bias,high_freq_cnn.bn5.weight,high_freq_cnn.bn5.bias,low_freq_cnn.conv1.weight,low_freq_cnn.conv1.bias,low_freq_cnn.bn1.weight,low_freq_cnn.bn1.bias,low_freq_cnn.conv2.weight,low_freq_cnn.conv2.bias,low_freq_cnn.bn2.weight,low_freq_cnn.bn2.bias,low_freq_cnn.conv3.weight,low_freq_cnn.conv3.bias,low_freq_cnn.bn3.weight,low_freq_cnn.bn3.bias,low_freq_cnn.conv4.weight,low_freq_cnn.conv4.bias,low_freq_cnn.bn4.weight,low_freq_cnn.bn4.bias,low_freq_cnn.conv5.weight,low_freq_cnn.conv5.bias,low_freq_cnn.bn5.weight,low_freq_cnn.bn5.bias,fc1.weight,fc1.bias,fc2.weight,fc2.bias,fc3.weight,fc3.bias
1,0.358410914430914,2.9828067473662918e-05,0.06343586607705183,0.024026310665781855,0.7241181390040823,5.31917388205589e-07,0.029676952733672546,0.021412425026919243,0.3621854215879422,5.6144380205486955e-08,0.01855026647541434,0.009849639080078972,0.1838459755339281,5.7514102795454784e-09,0.011385249420274001,0.005338260543543388,0.09990296752937615,1.5406719845624135e-09,0.019504534391462422,0.02088536522434572,0.5719450640842281,7.442250485012401e-06,0.027329306122954086,0.023949640838172085,0.420321754272789,1.8886290593610554e-07,0.019879533992627697,0.01450826557468661,0.24560576928850938,2.4359005782621268e-08,0.01269476740654377,0.007469509883969546,0.14408054322842748,4.096345200526059e-09,0.008518213987090836,0.003972973938479953,0.0901090410321265,1.3089406689824133e-09,0.017060746274450245,0.017530237752086748,0.37388527789689086,0.02921168887725724,0.6123201189291142,0.04059614172524503,1.0167977163363295,0.08506246346532537
2,0.46642004513679564,3.222143886724527e-05,0.08236137499361088,0.03483836890657997,0.7992289249244553,5.620410831779806e-07,0.044099402621083555,0.03373906372205528,0.4632862858150316,7.422760858935711e-08,0.03577230306213622,0.01953445399975609,0.2610126082092295,8.455978840695762e-09,0.022432146763043177,0.010564631214389181,0.11669367620402285,1.9494259309958823e-09,0.029396551782670227,0.030937963896585853,0.6581912364648737,6.726550807802701e-06,0.02944553807339705,0.025844028464916263,0.382084387418864,1.4112237006942685e-07,0.024973793364966006,0.01860638991560396,0.25211544430164423,2.5166115700026593e-08,0.017717378299750026,0.010624089448586525,0.1495644135395889,4.376237151574333e-09,0.012077185815995765,0.005651433919401616,0.08010068518655075,1.203926706693683e-09,0.02102159983133111,0.02175904925712539,0.3760202721028072,0.030421913017892776,0.4949222976899208,0.03580842955547678,0.9213862615778013,0.07249467521715347
3,0.45834554758523127,3.2772437442293425e-05,0.08114989178107522,0.03673384518212522,0.7431738923882585,4.5157271801501866e-07,0.04854178710190384,0.038944809423650015,0.465584603493171,7.825318752292487e-08,0.04157001568037835,0.023329928283915495,0.2750164061174978,9.018257598492574e-09,0.02708471099110058,0.013634451800752479,0.11527538509167673,2.0236662638314483e-09,0.03126283653099519,0.03348464735776491,0.6542355345795526,6.762047405572957e-06,0.02844008055213086,0.02534729588176588,0.3428727626952979,1.2286706823998195e-07,0.026346559228990082,0.019656991690892696,0.2404853562869684,2.4651090532869495e-08,0.019709723005952584,0.011798572393081835,0.14554243439527423,4.4083434345376335e-09,0.01375048863165595,0.006581718994118749,0.07501844655903404,1.171143377644237e-09,0.022290820432136125,0.02307758998849889,0.3556506833456971,0.02976989428824781,0.4457240192329182,0.03325879510939884,0.8719512515360742,0.06720210964341297
4,0.4842920660057946,3.590654165013326e-05,0.08087864267589796,0.039200533438674016,0.7128582298755646,4.5175751865925756e-07,0.053216253190546695,0.04356528084029627,0.4747535693828407,7.779886884192571e-08,0.04662939759395312,0.026982033973002372,0.29095477113485946,9.961369224230123e-09,0.03068031064803948,0.01576892976098887,0.11626828961131518,2.140766138385476e-09,0.032444538319926434,0.03430085715449527,0.6676452316896385,6.616819067418531e-06,0.02884403331076626,0.02573560305949672,0.3220310942138857,1.2131264678909132e-07,0.02766646899502067,0.020620358617180753,0.2345655332212253,2.4503101733478946e-08,0.02143973785469218,0.012865296472102175,0.1454929260303602,4.527047706865717e-09,0.015046179373188855,0.007351121864021968,0.07329179027386944,1.1821935672510013e-09,0.022538588637166925,0.023008446602146033,0.338588598858365,0.028711001505441678,0.41984216987019607,0.030619024496782773,0.8611289699516638,0.06207526446131947
5,0.49119026261522336,3.3275779582407996e-05,0.08461311248981435,0.04149992526282587,0.7101745562785117,4.069815206479028e-07,0.0563242662212123,0.04708790584274418,0.47855890170692483,8.07783617091872e-08,0.049547179980808514,0.029232507538231436,0.298119617506976,1.0424423751035608e-08,0.03284522191242641,0.017387751361255147,0.11598567763710266,2.179032908643834e-09,0.03317235398780354,0.03524700355956621,0.6839578503842854,6.656695248534386e-06,0.030506354859074974,0.027070513733512606,0.3185007615238809,1.354112476186521e-07,0.02858124809611179,0.021925866732473872,0.23525549680985453,2.5278019845538956e-08,0.022886750605100255,0.013880906407447421,0.14859746202178623,4.72253808607845e-09,0.016297753986037906,0.008229537625246874,0.07325307988678403,1.2074369414223163e-09,0.023545204745153026,0.024242634913595892,0.3261895020066015,0.028236029907832364,0.3942286525388508,0.02937375415888284,0.8176962573967321,0.05824361149402683
6,0.5018497120846263,3.3134074991631e-05,0.08676349080127219,0.04188581207848113,0.698588118528771,4.062286069222206e-07,0.057757593310245166,0.04950388159383746,0.4785092537817748,8.122591203448947e-08,0.05153580158567794,0.03114903780638867,0.3064670784927695,1.102931283671575e-08,0.03505351479686892,0.018848124874846252,0.11773523979860803,2.2701847392570087e-09,0.03398021087145714,0.03613114333175637,0.7238743745762369,7.687451705972185e-06,0.030909734568499086,0.0277888145693161,0.3157516624540319,1.2756818387656832e-07,0.030424483534891893,0.02334569891214447,0.23814619075306845,2.6307546440801598e-08,0.024295621894566757,0.014828398999998637,0.15089986042674544,4.87188153133308e-09,0.01717279699947828,0.00866054099581926,0.0736944654484844,1.2171024123182573e-09,0.02393308944304657,0.024601055535456866,0.3188871899071862,0.02790038066122995,0.374531966036238,0.02832980863654705,0.7951848961965508,0.05627120754507649
7,0.5254076422785249,3.3346960137346184e-05,0.08747133938476558,0.04364944277974346,0.7060076378647934,4.3073569261975336e-07,0.06034357916287449,0.0523545544908937,0.4928047358227508,8.486915047517374e-08,0.054852832232594795,0.033343596188613524,0.32441696741849263,1.1760589384415146e-08,0.03786355036470439,0.020680058023432635,0.12213095424272825,2.3582537968449807e-09,0.034612190940648394,0.0371950670667088,0.7376259194158227,6.443195197463814e-06,0.031096946652931022,0.02765122308965077,0.31474894106083207,1.0606379233827877e-07,0.031148319030204392,0.023715500376851814,0.243263075876114,2.5601169207312544e-08,0.026048932719947127,0.016047861593801654,0.15790315627899315,5.110379047471146e-09,0.01854771804874358,0.009486880654807362,0.07621590415839954,1.2631648318973474e-09,0.025018648296842336,0.025858124908621962,0.3171856604954776,0.028115726249945135,0.36112291135294056,0.027846565975062073,0.7811359111457834,0.054744681829343673
8,0.5333717819065085,3.1687472779790215e-05,0.08558378659207802,0.04525584856148266,0.6932413850141608,4.1337211978842463e-07,0.06097675837061899,0.05359464335014753,0.496755676653684,8.744367425319781e-08,0.0568687666655349,0.0347369205197105,0.3368129235932894,1.2437477554255144e-08,0.03958888741119591,0.02201152985672588,0.12479831064905962,2.4625985908039834e-09,0.0349122407510305,0.03746847412489412,0.730681375850497,6.489151446030031e-06,0.03294042882311832,0.02858191805050882,0.32390004438360026,1.1958445107240812e-07,0.032815825451365514,0.02502104051201545,0.2534771214055893,2.792002295174108e-08,0.027943804150309098,0.017074731916970457,0.16692600757493387,5.593783086065259e-09,0.019766639117770792,0.010197863625862714,0.07941095766318423,1.3613716065222874e-09,0.025367898173401574,0.02623801089613639,0.3128465156802131,0.027939750572375934,0.346299802022212,0.026977403098931704,0.7540189847159569,0.051905955404729184
9,0.539734465844186,3.394895396518211e-05,0.08645200116745651,0.04585863374497579,0.6932226341703663,4.031834098229068e-07,0.06271819884667311,0.05515516901869908,0.5095780677807605,8.618645900852858e-08,0.05947550042244175,0.03606535657725828,0.35058489445682683,1.3029778470156206e-08,0.041402032479758155,0.023190157356984018,0.1290036408073457,2.53257598666256e-09,0.03455302781661224,0.0373579428943298,0.7648419544977301,6.675621129641076e-06,0.033529062519597884,0.029215199196392008,0.3361835764039813,1.3247622614016728e-07,0.034468529917433134,0.025944620437558043,0.26560657724852454,2.8985176025752926e-08,0.029350987261594713,0.01829628797624346,0.17759971915151151,5.922824344073742e-09,0.02105759461993909,0.011045220553341424,0.0827382104018765,1.4264435712471055e-09,0.025498984693585303,0.026529802221452337,0.30766662642778947,0.027720956970244418,0.33109636711495,0.026260863022540538,0.7241926322050412,0.049767579180676765
10,0.5539237610671831,3.363786793872811e-05,0.08750503588363033,0.04800076383020719,0.7059235286224833,4.400949585185589e-07,0.06556162808824073,0.05836758229052624,0.522273276544288,8.961025019600485e-08,0.06115024715014126,0.037939169179752964,0.36239150033125184,1.3651636387404981e-08,0.04266265905974314,0.02425503561897275,0.13233602927316485,2.6436569568873976e-09,0.03426835546389108,0.03719656551947527,0.839185100839571,6.703524084577161e-06,0.034822369818492314,0.030750613252315526,0.35479495626733737,1.310560190702895e-07,0.03626585464991267,0.027816567122174042,0.2830369345214971,3.166908665856567e-08,0.03154051939830603,0.019798944980534902,0.19244998125621424,6.526708135014699e-09,0.02252870737848913,0.011897109984837072,0.08759396030660481,1.535549633170258e-09,0.025742593854951583,0.026701926318047298,0.3069082469586521,0.02754532232347047,0.31880898987088363,0.02547937404373875,0.6942985339085465,0.046528187206448496
